business_id,score,date
30800,98,20151020
30800,97,20150413
30799,100,20151104
30799,96,20150429
32307,100,20151209
72553,97,20160324
72553,97,20150807
30804,98,20160301
30804,100,20150911
30804,100,20150204
30797,100,20160229
30797,100,20150910
30797,100,20150321
68675,100,20151030
68675,87,20150511
68675,95,20150511
68675,97,20150401
61165,99,20160211
61165,97,20150407
37018,99,20160107
37018,100,20150705
76791,97,20151027
76791,99,20150415
76661,98,20151027
76661,99,20150415
31370,100,20160105
31370,100,20150914
31370,100,20150708
30689,96,20160302
30689,96,20151008
30689,97,20150325
30689,72,20150312
96660,100,20151113
96660,100,20150611
30808,100,20160112
30808,100,20150911
92289,97,20160308
92289,96,20150923
92289,99,20150319
92289,95,20150304
61878,94,20150924
61878,95,20150331
98068,97,20160216
98068,99,20150914
98068,100,20150813
56602,97,20151210
56602,97,20150626
96973,100,20151204
96973,100,20150528
96973,100,20150427
90209,95,20151015
90209,98,20150430
90867,95,20151015
90867,99,20150430
68559,98,20151015
30816,100,20160224
30816,98,20151015
30816,99,20150430
30815,100,20160317
30815,100,20150818
33085,97,20150930
97796,91,20160301
97796,94,20160301
97796,93,20150803
97796,98,20150803
97796,99,20150702
58029,95,20151008
58029,100,20151008
58029,100,20150415
64910,94,20151110
64910,92,20150311
64910,96,20150311
31454,98,20150921
31454,100,20150414
30821,98,20160209
30821,93,20150904
30821,93,20150806
30821,97,20150806
30821,100,20150211
84794,98,20160111
84794,97,20150729
84794,95,20150326
30824,98,20151204
30824,97,20150626
96668,97,20151218
96668,99,20150616
50119,95,20160208
50119,94,20150923
50119,96,20150317
52037,100,20151222
52037,100,20151123
52037,97,20150716
92161,100,20160229
30827,100,20160303
30827,98,20150924
30827,100,20150316
99244,100,20160308
98141,100,20160203
98141,99,20150904
34431,100,20160325
34431,100,20150909
90279,100,20151229
90279,100,20150628
94287,100,20151112
94287,100,20150518
65047,100,20150923
65047,100,20150304
31779,97,20151102
31779,97,20150522
30830,94,20160202
30830,98,20150730
30831,97,20151215
30831,97,20150629
30832,97,20160321
30832,91,20160309
30783,99,20160128
30783,99,20150820
47738,100,20160321
47738,100,20150925
32521,100,20151105
32521,96,20150513
30869,92,20160204
30869,92,20151023
30869,97,20151023
30869,87,20151007
30869,96,20150529
30870,100,20160318
30870,92,20160307
30870,98,20150921
30870,98,20150326
30871,95,20151210
30871,95,20150603
77359,99,20151123
77359,94,20151110
77359,95,20150519
77359,99,20150519
80653,100,20151117
80653,100,20150604
80653,92,20150526
80653,96,20150526
30872,96,20151217
30872,100,20151217
30872,95,20150623
30873,100,20160314
30873,96,20160302
30873,96,20160224
30873,96,20160208
30873,100,20150915
30873,100,20150209
47226,96,20150911
47226,99,20150805
68737,94,20160225
68737,96,20150903
68737,92,20150810
75714,89,20151209
75714,98,20151209
75714,96,20150629
54982,97,20160226
